"user_id","created","module","is_finish"
277,"2019-05-16 13:46:03.210928","MODULE_ONE_SESSION_FOUR",1
277,"2019-05-16 13:47:21.935744","MODULE_ONE_SESSION_FOUR",1
277,"2019-05-16 15:01:23.865965","MODULE_ONE_SESSION_TWO",1
277,"2019-05-16 15:01:34.393369","MODULE_ONE_SESSION_TWO",1
277,"2019-05-16 15:01:40.501754","MODULE_ONE_SESSION_TWO",1
277,"2019-05-16 15:01:47.391600","MODULE_ONE_SESSION_TWO",1
277,"2019-05-16 15:03:52.648338","MODULE_ONE_SESSION_TWO",1
277,"2019-05-16 15:03:59.367624","MODULE_ONE_SESSION_TWO",1
277,"2019-05-16 15:04:04.872555","MODULE_ONE_SESSION_TWO",1
277,"2019-05-16 15:07:17.917361","MODULE_ONE_SESSION_TWO",1
277,"2019-05-16 15:07:51.080155","MODULE_ONE_SESSION_TWO",1
277,"2019-05-16 15:08:03.742833","MODULE_ONE_SESSION_TWO",1
277,"2019-05-16 15:08:09.627056","MODULE_ONE_SESSION_TWO",1
277,"2019-05-16 15:08:15.455222","MODULE_ONE_SESSION_TWO",1
277,"2019-05-16 15:08:28.587173","MODULE_ONE_SESSION_TWO",1
64,"2019-05-17 07:08:42.257958","MODULE_ONE_SESSION_TWO",1
64,"2019-05-17 07:09:20.196567","MODULE_ONE_SESSION_TWO",1
64,"2019-05-17 07:10:23.593224","MODULE_ONE_SESSION_TWO",1
64,"2019-05-17 07:10:33.945714","MODULE_ONE_SESSION_TWO",1
64,"2019-05-17 07:10:38.574874","MODULE_ONE_SESSION_TWO",1
64,"2019-05-17 07:11:03.490677","MODULE_ONE_SESSION_TWO",1
64,"2019-05-17 07:12:02.029039","MODULE_ONE_SESSION_TWO",1
64,"2019-05-17 07:12:05.643768","MODULE_ONE_SESSION_TWO",1
64,"2019-05-17 09:03:23.126385","MODULE_ONE_SESSION_TWO",1
64,"2019-05-17 09:03:48.768019","MODULE_ONE_SESSION_TWO",1
64,"2019-05-17 09:03:53.904451","MODULE_ONE_SESSION_TWO",1
64,"2019-05-17 09:03:59.864464","MODULE_ONE_SESSION_TWO",1
64,"2019-05-17 09:04:19.455458","MODULE_ONE_SESSION_TWO",1
64,"2019-05-17 11:21:53.986398","MODULE_ONE_SESSION_THREE",1
64,"2019-05-17 11:22:08.917516","MODULE_ONE_SESSION_THREE",1
64,"2019-05-17 11:22:16.513403","MODULE_ONE_SESSION_THREE",1
64,"2019-05-17 11:25:07.202008","MODULE_ONE_SESSION_THREE",1
64,"2019-05-17 12:51:56.579986","MODULE_ONE_SESSION_FOUR",1
64,"2019-05-17 12:59:13.425252","MODULE_ONE_SESSION_FOUR",1
64,"2019-05-17 13:01:41.054985","MODULE_ONE_SESSION_FOUR",1
64,"2019-05-17 13:02:55.587277","MODULE_ONE_SESSION_FOUR",1
64,"2019-05-17 13:08:03.573452","MODULE_ONE_SESSION_FOUR",1
64,"2019-05-17 13:13:03.342503","MODULE_ONE_SESSION_FOUR",1
277,"2019-05-17 13:14:41.281350","MODULE_ONE_SESSION_TWO",1
277,"2019-05-17 13:14:53.874956","MODULE_ONE_SESSION_TWO",1
277,"2019-05-17 13:15:00.886345","MODULE_ONE_SESSION_TWO",1
277,"2019-05-17 13:15:11.315010","MODULE_ONE_SESSION_TWO",1
64,"2019-05-17 13:15:12.671916","MODULE_ONE_SESSION_FOUR",1
277,"2019-05-17 13:19:29.217244","MODULE_ONE_SESSION_TWO",1
277,"2019-05-17 13:19:39.047657","MODULE_ONE_SESSION_TWO",1
277,"2019-05-17 13:19:43.566200","MODULE_ONE_SESSION_TWO",1
277,"2019-05-17 13:19:48.536199","MODULE_ONE_SESSION_TWO",1
277,"2019-05-17 13:19:58.815861","MODULE_ONE_SESSION_TWO",1
277,"2019-05-17 13:35:42.401815","MODULE_ONE_SESSION_TWO",1
277,"2019-05-17 13:35:52.842332","MODULE_ONE_SESSION_TWO",1
277,"2019-05-17 13:36:03.568385","MODULE_ONE_SESSION_TWO",1
277,"2019-05-17 13:36:14.041702","MODULE_ONE_SESSION_TWO",1
304,"2019-05-17 13:43:48.234156","MODULE_ONE_SESSION_TWO",1
304,"2019-05-17 13:44:16.895500","MODULE_ONE_SESSION_TWO",1
304,"2019-05-17 13:44:36.112033","MODULE_ONE_SESSION_TWO",1
304,"2019-05-17 13:44:57.786163","MODULE_ONE_SESSION_TWO",1
304,"2019-05-17 13:49:12.316129","MODULE_ONE_SESSION_TWO",1
304,"2019-05-17 13:49:42.125301","MODULE_ONE_SESSION_TWO",1
304,"2019-05-17 13:50:22.088262","MODULE_ONE_SESSION_TWO",1
304,"2019-05-17 14:03:03.268740","MODULE_ONE_SESSION_TWO",1
304,"2019-05-17 14:03:30.912158","MODULE_ONE_SESSION_TWO",1
304,"2019-05-17 14:03:57.264931","MODULE_ONE_SESSION_TWO",1
304,"2019-05-17 14:04:18.304156","MODULE_ONE_SESSION_TWO",1
304,"2019-05-17 14:11:45.124286","MODULE_ONE_SESSION_TWO",1
304,"2019-05-17 14:12:16.582536","MODULE_ONE_SESSION_TWO",1
304,"2019-05-17 14:12:33.821486","MODULE_ONE_SESSION_TWO",1
304,"2019-05-17 14:13:03.118201","MODULE_ONE_SESSION_TWO",1
304,"2019-05-17 14:14:34.046555","MODULE_ONE_SESSION_TWO",1
277,"2019-05-17 14:33:40.988123","MODULE_ONE_SESSION_TWO",1
277,"2019-05-17 14:33:50.584884","MODULE_ONE_SESSION_TWO",1
277,"2019-05-17 14:33:55.156890","MODULE_ONE_SESSION_TWO",1
277,"2019-05-17 14:34:00.369524","MODULE_ONE_SESSION_TWO",1
277,"2019-05-17 14:55:31.837066","MODULE_ONE_SESSION_FOUR",1
277,"2019-05-17 14:55:36.632287","MODULE_ONE_SESSION_FOUR_DID_NOT",1
277,"2019-05-17 14:55:41.518057","MODULE_ONE_SESSION_FOUR",1
277,"2019-05-17 17:21:21.681735","MODULE_ONE_SESSION_TWO",1
277,"2019-05-17 17:21:30.724911","MODULE_ONE_SESSION_TWO",1
277,"2019-05-17 17:21:35.237135","MODULE_ONE_SESSION_TWO",1
277,"2019-05-17 17:32:26.165781","MODULE_TWO_SESSION_TWO",1
277,"2019-05-17 18:29:47.555712","MODULE_TWO_SESSION_THREE",1
64,"2019-05-18 03:14:36.520469","MODULE_TWO_SESSION_ONE",1
64,"2019-05-18 03:21:06.884767","MODULE_TWO_SESSION_ONE",1
64,"2019-05-18 03:21:38.201327","MODULE_TWO_SESSION_ONE",1
64,"2019-05-18 04:49:17.606765","MODULE_TWO_SESSION_TWO",1
64,"2019-05-18 04:49:21.942051","MODULE_TWO_SESSION_TWO",1
64,"2019-05-18 04:50:21.852722","MODULE_TWO_SESSION_TWO",1
64,"2019-05-18 05:10:59.968312","MODULE_TWO_SESSION_THREE",1
64,"2019-05-18 05:20:41.852723","MODULE_TWO_SESSION_THREE",1
